filename,ground_truth,actual_result,predicted_result,,,,,,,,,,,,,,
car1.jpg,京Q85A77,京,Q,5,8,A,7,7, ,京,Q,5,8,A,7,7,
car10.jpg,吉AA266G,吉,A,A,2,6,6,G, ,吉,A,A,2,6,6,G,
car100.jpg,苏EM55Q7,苏,E,M,5,5,Q,T, ,苏,E,M,5,5,Q,T,
car11.jpg,苏BGG522,苏,B,G,G,5,2,2, ,苏,B,G,G,5,2,2,
car12.jpg,苏E9917U,苏,E,9,9,1,7,U, ,苏,E,9,9,1,7,U,
car13.jpg,津KNG518,津,K,N,G,5,1,8, ,津,K,N,G,5,1,8,
car14.jpg,湘A5RM87,湘,A,5,R,M,8,7, ,川,A,5,R,M,8,Z,
car15.jpg,皖AK169H,皖,A,K,1,6,9,H, ,皖,A,K,1,6,9,H,
car16.jpg,沪K62933,沪,K,6,2,9,3,3, ,豫,K,6,2,9,3,3,
car17.jpg,湘A9YU86,湘,A,9,Y,U,8,6, ,川,A,9,Y,U,8,6,
car18.jpg,云A555TX,云,A,5,5,5,T,X, ,云,A,5,5,5,T,X,
car19.jpg,湘A53U19,湘,A,5,3,U,1,9, ,川,A,5,3,U,1,9,
car2.jpg,冀T15888,冀,T,1,5,8,8,8, ,冀,T,1,5,8,8,8,
car20.jpg,苏EG08P9,苏,E,G,0,8,P,9, ,京,E,G,0,8,B,9,
car21.jpg,粤A5TG68,粤,A,5,T,G,6,8, ,粤,A,5,Z,G,6,6,
car22.jpg,皖AUB816,皖,A,U,B,8,1,6, ,川,A,U,B,8,1,6,
car23.jpg,鲁KK5555,鲁,K,K,5,5,5,5, ,鲁,K,K,5,5,5,5,
car24.jpg,湘A0PC37,湘,A,0,P,C,3,7, ,川,A,0,B,C,3,7,
car25.jpg,京N8P8F8,京,N,8,P,8,F,8, ,京,N,8,B,8,E,8,T
car26.jpg,鲁HC9669,鲁,H,C,9,6,6,9, ,鲁,H,C,9,6,6,9,
car27.jpg,辽JB2368,辽,J,B,2,3,6,8, ,川,1,B,2,3,6,8,
car28.jpg,沪AZ0001,沪,A,Z,0,0,0,1, ,京,A,Z,D,0,0,1,
car29.jpg,京N888R8,京,N,8,8,8,R,8, ,京,N,8,8,8,R,8,
car3.jpg,桂CGT009,桂,C,G,T,0,0,9, ,川,C,G,T,0,D,9,
car30.jpg,冀EMM520,冀,E,M,M,5,2,0, ,冀,E,M,M,5,2,0,
car31.jpg,京BD01113,京,B,D,0,1,1,1,3,京,B,D,0,1,1,1,3
car32.jpg,苏B577CU,苏,B,5,7,7,C,U, ,苏,B,5,7,7,C,U,
car33.jpg,桂A956ED,桂,A,9,5,6,E,D, ,桂,A,9,5,6,E,D,
car34.jpg,川C28888,川,C,2,8,8,8,8, ,川,C,2,8,8,8,8,
car35.jpg,苏EN36K3,苏,E,N,3,6,K,3, ,苏,E,N,3,6,K,3,
car36.jpg,皖A45277,皖,A,4,5,2,7,7, ,川,A,4,5,2,7,7,
car37.jpg,沪E77777,沪,E,7,7,7,7,7, ,豫,E,7,7,7,7,7,
car38.jpg,津LS2999,津,L,S,2,9,9,9, ,冀,L,S,2,9,9,9,
car39.jpg,豫A6A61F,豫,A,6,A,6,1,F, ,桂,A,6,A,6,1,E,
car4.jpg,甘ADV868,甘,A,D,V,8,6,8, ,川,A,D,V,8,6,8,
car40.jpg,浙A66666,浙,A,6,6,6,6,6, ,浙,A,6,6,6,6,6,
car41.jpg,京E51619,京,E,5,1,6,1,9, ,京,E,5,1,6,1,9,
car42.jpg,粤BAH8886,粤,B,A,H,8,8,8,6,粤,B,A,H,8,8,8,GL
car43.jpg,津DTG667,津,D,T,G,6,6,7, ,津,1T,T,G,6,6, ,
car44.jpg,苏DLA031,苏,D,L,A,0,3,1, ,苏,D,L,A,0,3,1,
car45.jpg,沪AGH092,沪,A,G,H,0,9,2, ,豫,A,G,H,0,9,2,
car46.jpg,闽HB1508,闽,H,B,1,5,0,8, ,川,H,B,1,5,0,8,
car47.jpg,鲁B325DE,鲁,B,3,2,5,D,E, ,鲁,B,3,2,5,D,E,
car48.jpg,津E28437,津,E,2,8,4,3,7, ,津,E,2,8,4,3,7,
car49.jpg,粤CPW706,粤,C,P,W,7,0,6, ,桂,C,9,W,7,0,6,
car5.jpg,浙B999AA,浙,B,9,9,9,A,A, ,川,B,9,9,9,A,A,
car50.jpg,津E14579,津,E,1,4,5,7,9, ,鲁, ,1,4,5,7,9,
car51.jpg,津G68991,津,G,6,8,9,9,1, ,津,G,6,8,9,9,1,
car52.jpg,皖A1T235,皖,A,1,T,2,3,5, ,川,A,1,T,2,3,5,
car53.jpg,赣A82F36,赣,A,8,2,F,3,6, ,豫,A,8,2,E,3,6,
car54.jpg,湘ATL269,湘,A,T,L,2,6,9, ,川,A,T,L,2,6,9,
car55.jpg,皖A85890,皖,A,8,5,8,9,0, ,皖,A,8,5,8,9,0,
car56.jpg,京A88731,京,A,8,8,7,3,1, ,粤,A,8,8,7,3,1,
car57.jpg,皖A87271,皖,A,8,7,2,7,1, ,皖,1,1,7,2,T,1,
car58.jpg,辽PE9218,辽,P,E,9,2,1,8, ,川,B,E,9,2,1,8,
car59.jpg,湘AT8781,湘,A,T,8,7,8,1, ,浙,A,T,8,7,8, ,
car6.jpg,苏A0CP56,苏,A,0,C,P,5,6, ,苏,A,0,C,B,5,6,
car60.jpg,浙B7C289,浙,B,7,C,2,8,9, ,浙,B,7,C,2,8,9,
car61.jpg,皖ATH859,皖,A,T,H,8,5,9, ,川,A,T,H,8,5,9,
car62.jpg,京AG6104,京,A,G,6,1,0,4, ,青,1,G,6,1,U,4,
car63.jpg,鲁Q521MZ,鲁,Q,5,2,1,M,Z, ,鲁,Q,5,2,1,M,Z,
car64.jpg,苏E6HZ29,苏,E,6,H,Z,2,9, ,苏,E,6,H,Z,2,9,
car65.jpg,湘AT1Y68,湘,A,T,1,Y,6,8, ,湘,A,T,1,Y,6,8,
car66.jpg,津AHP676,津,A,H,P,6,7,6, ,津,A,H,P,6,7,6,
car67.jpg,沪AP0910,沪,A,P,0,9,1,0, ,赣,A,B,0,9,1,0,
car68.jpg,津NRL118,津,N,R,L,1,1,8, ,津,N,R,L,1,1,8,
car69.jpg,鲁A88888,鲁,A,8,8,8,8,8, ,鲁,A,8,8,8,8,8,
car7.jpg,京P8BK60,京,P,8,B,K,6,0, ,京,B,8,B,K,6,0,
car70.jpg,湘AA8516,湘,A,A,8,5,1,6, ,川,A,A,8,5,1,6,
car71.jpg,湘A31Y83,湘,A,3,1,Y,8,3, ,湘,A,3,1,Y,8,3,
car72.jpg,湘AYN355,湘,A,Y,N,3,5,5, ,川,A,Y,N,3,5,5,
car73.jpg,川AA662F,川,A,A,6,6,2,F, ,川,A,A,6,6,2,E,
car74.jpg,京H99999,京,H,9,9,9,9,9, ,京,H,9,9,9,9,9,
car75.jpg,湘AL8387,湘,A,L,8,3,8,7, ,冀,A,L,8,3,8,7,
car76.jpg,津E24494,津,E,2,4,4,9,4, ,津,E,2,4,4,9,4,
car77.jpg,皖ATH859,皖,A,T,H,8,5,9, ,川,A,T,H,8,5,9,
car78.jpg,黑A1R272,黑,A,1,R,2,7,2, ,黑,A,1,R,2,Z,2,
car79.jpg,闽HB1508,闽,H,B,1,5,0,8, ,川,H,B,1,5,0,8,
car8.jpg,豫S33909,豫,S,3,3,9,0,9, ,豫,S,3,3,9,0,9,
car80.jpg,津RB7992,津,R,B,7,9,9,2, ,津,R,B,7,9,9,2,
car81.jpg,苏EB06E6,苏,E,B,0,6,E,6, ,苏,E,B,0,6,E,6,
car82.jpg,赣E88888,赣,E,8,8,8,8,8, ,鄂,E,8,8,8,8,8,
car83.jpg,湘A97971,湘,A,9,7,9,7,1, ,湘,A,9,7,9,7,1,
car84.jpg,沪AF71017,沪,A,F,7,1,0,1,7,川9,A,E,Z,7,U,7,6
car85.jpg,皖K66666,皖,K,6,6,6,6,6, ,皖,K,6,6,6,6,6,
car86.jpg,豫C66666,豫,C,6,6,6,6,6, ,川,C,6,6,6,6,6,
car87.jpg,鲁KK5555,鲁,K,K,5,5,5,5, ,鲁,K,K,5,5,5,5,
car88.jpg,鲁A88888,鲁,A,8,8,8,8,8, ,鲁,A,8,8,8,8,8,
car89.jpg,苏BU5838,苏,B,U,5,8,3,8, ,苏,B,U,5,8,3,8,
car9.jpg,湘A3685C,湘,A,3,6,8,5,C, ,湘,A,3,6,8,5,C,
car90.jpg,津A22602,津,A,2,2,6,0,2, ,津,A,2,2,6,0,2,
car91.jpg,湘AY4936,湘,A,Y,4,9,3,6, ,皖,A,Y,A,9,3,6,
car92.jpg,京A88731,京,A,8,8,7,3,1, ,粤,A,8,8,7,3,1,
car93.jpg,皖A22T43,皖,A,2,2,T,4,3, ,冀,A,2,2,T,A,3,
car94.jpg,苏B551QV,苏,B,5,5,1,Q,V, ,苏,B,5,5,1,Q,V,
car95.jpg,津MJY929,津,M,J,Y,9,2,9, ,津,M,U,Y,9,2,9,
car96.jpg,京AD77972,京,A,D,7,7,9,7,2,京,A,D,7,Z,9,7,2
car97.jpg,皖P77222,皖,P,7,7,2,2,2, ,豫,D,7,7,2,2,Z,
car98.jpg,鲁Y44748,鲁,Y,4,4,7,4,8, ,浙,Y,4,4,7,4,8,
car99.jpg,皖AA3610,皖,A,A,3,6,1,0, ,皖,A,A,3,6,1,0,
